x,U_0,U_1,U_2
0.36125,0.51974,2.621e-16,0
0.36375,0.527917,2.88763e-16,0
0.36625,0.536092,3.04844e-16,0
0.36875,0.544266,2.22285e-16,0
0.37125,0.552439,3.42702e-16,0
0.37375,0.56061,-8.39251e-17,0
0.37625,0.568779,-1.48739e-16,0
0.37875,0.576947,-2.36647e-16,0
0.38125,0.585113,-1.90844e-16,0
0.38375,0.593276,8.29207e-16,0
0.38625,0.601438,-2.59251e-15,0
0.38875,0.609596,5.69743e-15,0
0.39125,0.617752,-1.13774e-14,0
0.39375,0.625906,1.88428e-14,0
0.39625,0.634056,-2.77548e-14,0
0.39875,0.642202,3.58075e-14,0
0.40125,0.650345,-3.64037e-14,0
0.40375,0.658484,1.72942e-14,0
0.40625,0.666618,6.04337e-14,0
0.40875,0.674748,-2.86239e-13,0
0.41125,0.682873,8.58683e-13,0
0.41375,0.690992,-2.17086e-12,0
0.41625,0.699106,4.9273e-12,0
0.41875,0.707213,-1.02785e-11,0
0.42125,0.715313,1.98656e-11,0
0.42375,0.723405,-3.57274e-11,0
0.42625,0.731489,6.05639e-11,0
0.42875,0.739563,-1.00228e-10,0
0.43125,0.747627,1.70949e-10,0
0.43375,0.755679,-3.08877e-10,0
0.43625,0.763717,5.64223e-10,0
0.43875,0.77174,-9.45859e-10,0
0.44125,0.779745,1.30296e-09,0
0.44375,0.787729,-1.23456e-09,0
0.44625,0.795689,2.69457e-10,0
0.44875,0.803619,1.46347e-09,0
0.45125,0.811513,-2.36083e-09,0
0.45375,0.819364,-5.34925e-10,0
0.45625,0.827158,8.92756e-09,0
0.45875,0.834883,-1.86464e-08,0
0.46125,0.842516,1.79522e-08,0
0.46375,0.850031,3.16013e-09,0
0.46625,0.85739,-3.0278e-08,0
0.46875,0.864545,4.693e-09,0
0.47125,0.871434,1.57016e-07,0
0.47375,0.877978,-4.7532e-07,0
0.47625,0.884088,7.89636e-07,0
0.47875,0.889662,-7.49775e-07,0
0.48125,0.894603,7.42591e-08,0
0.48375,0.898827,9.97939e-07,0
0.48625,0.902283,-1.55856e-06,0
0.48875,0.904965,7.48728e-07,0
0.49125,0.906921,1.01572e-06,0
0.49375,0.908249,-1.95056e-06,0
0.49625,0.909077,8.8786e-07,0
0.49875,0.909547,8.83564e-07,0
0.50125,0.909771,-1.16946e-06,0
0.50375,0.909869,2.5411e-07,0
0.50625,0.909892,2.16355e-07,0
0.50875,0.909896,-9.58194e-09,0
0.51125,0.909887,-3.0136e-08,0
0.51375,0.909853,-3.31191e-08,0
0.51625,0.909792,-2.22144e-08,0
0.51875,0.90972,-6.87105e-09,0
0.52125,0.909659,-4.24289e-09,0
0.52375,0.909617,1.63411e-08,0
0.52625,0.909593,6.97628e-09,0
0.52875,0.90958,-5.24753e-09,0
0.53125,0.909574,-1.95631e-09,0
0.53375,0.909576,-4.23719e-10,0
0.53625,0.909582,8.03187e-10,0
0.53875,0.909596,1.074e-09,0
0.54125,0.909617,6.68366e-10,0
0.54375,0.909643,1.69231e-10,0
0.54625,0.909671,-1.10562e-10,0
0.54875,0.909697,-1.07797e-10,0
0.55125,0.90972,1.59894e-11,0
0.55375,0.909739,1.04165e-10,0
0.55625,0.909755,1.42421e-10,0
0.55875,0.909768,5.58754e-11,0
0.56125,0.909778,1.56345e-11,0
0.56375,0.909785,-1.836e-11,0
0.56625,0.909789,-2.83671e-11,0
0.56875,0.909791,-3.85272e-13,0
0.57125,0.909792,1.01995e-11,0
0.57375,0.909792,-1.98869e-13,0
0.57625,0.909792,-2.66834e-12,0
0.57875,0.909792,-1.14793e-12,0
0.58125,0.909791,1.06029e-12,0
0.58375,0.909791,2.43017e-12,0
0.58625,0.90979,2.97693e-12,0
0.58875,0.909789,3.06586e-12,0
0.59125,0.909787,2.68867e-12,0
0.59375,0.909786,1.90986e-12,0
0.59625,0.909784,1.13391e-12,0
0.59875,0.909782,6.11756e-13,0
0.60125,0.90978,3.66008e-13,0
0.60375,0.909778,2.7125e-13,0
0.60625,0.909776,2.15706e-13,0
0.60875,0.909774,1.5711e-13,0
0.61125,0.909773,9.9012e-14,0
0.61375,0.909771,5.18698e-14,0
0.61625,0.90977,2.03451e-14,0
0.61875,0.909769,3.00887e-15,0
0.62125,0.909768,-4.44428e-15,0
