x,p,T
0.58375,0.310515,1.78937
0.58625,0.310515,1.78936
0.58875,0.310514,1.78935
0.59125,0.310514,1.78934
0.59375,0.310514,1.78932
0.59625,0.310514,1.7893
0.59875,0.310514,1.78928
0.60125,0.310514,1.78926
0.60375,0.310514,1.78924
0.60625,0.310513,1.78923
0.60875,0.310513,1.78921
0.61125,0.310512,1.78919
0.61375,0.310512,1.78917
0.61625,0.310511,1.78915
0.61875,0.31051,1.78913
0.62125,0.31051,1.78911
0.62375,0.310509,1.78908
0.62625,0.310508,1.78905
0.62875,0.310507,1.78902
0.63125,0.310506,1.78898
0.63375,0.310505,1.78894
0.63625,0.310504,1.78891
0.63875,0.310503,1.78887
0.64125,0.310502,1.78882
0.64375,0.310501,1.78878
0.64625,0.3105,1.78873
0.64875,0.310498,1.78868
0.65125,0.310497,1.78863
0.65375,0.310496,1.78857
0.65625,0.310494,1.7885
0.65875,0.310493,1.78842
0.66125,0.310491,1.78833
0.66375,0.310489,1.78824
0.66625,0.310488,1.78813
0.66875,0.310486,1.78803
0.67125,0.310484,1.78794
0.67375,0.310483,1.78785
0.67625,0.310481,1.78775
0.67875,0.31048,1.78761
0.68125,0.310478,1.78739
0.68375,0.310477,1.78698
0.68625,0.310474,1.7863
0.68875,0.310471,1.78535
0.69125,0.31047,1.78436
0.69375,0.310473,1.78368
0.69625,0.310472,1.78345
0.69875,0.310463,1.78364
0.70125,0.310459,1.78482
0.70375,0.310457,1.78856
0.70625,0.310456,1.79714
0.70875,0.310462,1.81352
0.71125,0.31047,1.84074
0.71375,0.310469,1.88126
0.71625,0.310465,1.93651
0.71875,0.310463,2.00663
0.72125,0.310463,2.09033
0.72375,0.310465,2.18496
0.72625,0.310473,2.28665
0.72875,0.31048,2.39059
0.73125,0.310477,2.49143
0.73375,0.310472,2.58393
0.73625,0.310475,2.66393
0.73875,0.31048,2.72872
0.74125,0.310482,2.77746
0.74375,0.310483,2.8112
0.74625,0.310483,2.83247
0.74875,0.310483,2.8445
0.75125,0.310483,2.85049
0.75375,0.310483,2.85301
0.75625,0.310483,2.85384
0.75875,0.310482,2.85401
0.76125,0.310483,2.85401
0.76375,0.310483,2.85392
0.76625,0.310483,2.85372
0.76875,0.310483,2.85345
0.77125,0.310484,2.85318
0.77375,0.310484,2.853
0.77625,0.310484,2.85291
0.77875,0.310484,2.85288
0.78125,0.310485,2.85288
0.78375,0.310485,2.85289
0.78625,0.310485,2.85293
0.78875,0.310485,2.853
0.79125,0.310485,2.85308
0.79375,0.310485,2.85317
0.79625,0.310486,2.85326
0.79875,0.310486,2.85334
0.80125,0.310486,2.8534
0.80375,0.310486,2.85346
0.80625,0.310486,2.8535
0.80875,0.310487,2.85354
0.81125,0.310487,2.85358
0.81375,0.310487,2.8536
0.81625,0.310488,2.85363
0.81875,0.310488,2.85365
0.82125,0.310488,2.85366
0.82375,0.310488,2.85368
0.82625,0.310489,2.85369
0.82875,0.310489,2.85371
0.83125,0.310489,2.85372
0.83375,0.310489,2.85373
0.83625,0.31049,2.85374
0.83875,0.31049,2.85375
0.84125,0.31049,2.85376
0.84375,0.31049,2.85376
0.84625,0.31049,2.85377
0.84875,0.310491,2.85378
0.85125,0.310491,2.85378
0.85375,0.310491,2.85379
0.85625,0.310492,2.85379
0.85875,0.310492,2.8538
0.86125,0.310492,2.8538
0.86375,0.310493,2.8538
0.86625,0.310493,2.8538
0.86875,0.310494,2.8538
0.87125,0.310494,2.8538
0.87375,0.310495,2.8538
0.87625,0.310495,2.8538
0.87875,0.310496,2.8538
0.88125,0.310496,2.8538
0.88375,0.310496,2.8538
0.88625,0.310496,2.8538
0.88875,0.310496,2.8538
0.89125,0.310496,2.85379
0.89375,0.310497,2.85379
0.89625,0.310497,2.85379
0.89875,0.310497,2.85378
0.90125,0.310496,2.85378
0.90375,0.310492,2.85377
0.90625,0.310476,2.8537
0.90875,0.3104,2.85343
0.91125,0.31006,2.85224
0.91375,0.308571,2.84714
0.91625,0.302406,2.82686
0.91875,0.279677,2.75561
0.92125,0.215134,2.54161
0.92375,0.127114,2.1515
0.92625,0.101433,2.007
0.92875,0.100033,2.00011
0.93125,0.100001,2
0.93375,0.1,2
0.93625,0.1,2
0.93875,0.1,2
0.94125,0.1,2
0.94375,0.1,2
0.94625,0.1,2
0.94875,0.1,2
0.95125,0.1,2
0.95375,0.1,2
0.95625,0.1,2
0.95875,0.1,2
0.96125,0.1,2
0.96375,0.1,2
0.96625,0.1,2
0.96875,0.1,2
0.97125,0.1,2
0.97375,0.1,2
0.97625,0.1,2
0.97875,0.1,2
0.98125,0.1,2
0.98375,0.1,2
0.98625,0.1,2
0.98875,0.1,2
0.99125,0.1,2
0.99375,0.1,2
0.99625,0.1,2
0.99875,0.1,2
